0_0_PHM_C01_MS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,08:26:48,PHM C01 MS NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,0.5,-1,-40,0.12,0.9,1000,348,Separate test set.,40,binary,0_0_PHM_C01_MS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4837,0.083,0.44,0.1174,0.4725,0.0902,0.4646,0.0961,0.4584,0.1012,0.46,0.56,0.51
DQN,0.4319,0.0271,0.345,0.0158,0.4111,0.0231,0.3959,0.0207,0.3835,0.019,0.455,0.655,0.555
PPO,0.4975,0.075,0.525,0.1253,0.5014,0.0833,0.5051,0.0906,0.5087,0.0976,0.52,0.475,0.4975
REINFORCE,0.9929,0.0226,0.645,0.0599,0.8947,0.0271,0.8297,0.037,0.7804,0.0444,0.005,0.355,0.18

