3_0_PHM_C01_MS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,09:12:19,PHM C01 MS NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,0.5,-1,-40,0.12,0.9,1000,348,Separate test set.,40,binary,3_0_PHM_C01_MS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.3,0.483,0.015,0.0242,0.0625,0.1006,0.0383,0.0616,0.0286,0.046,0.0,0.985,0.4925
DQN,0.3333,0.4082,0.025,0.0264,0.093,0.0992,0.0601,0.0635,0.0459,0.0485,0.035,0.975,0.505
PPO,0.5313,0.1546,0.33,0.0823,0.4684,0.1181,0.43,0.1025,0.4022,0.0942,0.31,0.67,0.49
REINFORCE,0.9746,0.0423,0.52,0.0919,0.8239,0.0498,0.7355,0.0658,0.6733,0.076,0.015,0.48,0.2475

