,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 MS NBD,0.8922420634920634,0.648,0.6977823623155037,0.7886701608934581,0.47754889447812215,0.512,0.4417556306781171,0.43162179628509156,0.4218872549019608,0.14799999999999996,0.1898716827250463,0.24562368187368183,0.4973621209312217,0.376,0.4189027228193625,0.4590792189356936,0.0169293787132124,0.06626523319283878,0.05425660314126142,0.034179092880309236,0.13986999750965823,0.07262950058827994,0.061290143783120345,0.06424809258668499,0.27405876022789916,0.02920701143304404,0.044692002476274355,0.07756140893141772,0.10481942255954305,0.11335719020525085,0.10104718853726218,0.0976841777532387
PHM C04 MS NBD,0.6128441558441559,0.13399999999999998,0.2106712003803167,0.3299178599178599,0.48492062230334143,0.40099999999999997,0.37119494671775183,0.40233739934425633,0.39997191523507314,0.40800000000000003,0.2969424922952173,0.2855366371354743,0.5115985552115582,0.288,0.3563868986754396,0.42916173022659426,0.3346236603481435,0.07347400347498549,0.11250708570805883,0.17173930117809189,0.11571343084967216,0.07615330223236845,0.08192804017465206,0.0958784237132341,0.24744415640410225,0.03780128875796674,0.04806901323134264,0.08418328054905322,0.15464571594066992,0.09839065148658344,0.11201880246371695,0.1297289295286766
PHM C06 MS NBD,0.8330614940614941,0.312,0.433594598839532,0.5899797118170638,0.5069936962649979,0.782,0.599379977844732,0.5374431062465076,0.4428645070750334,0.758,0.5222891229987726,0.4463997272579944,0.49466800270592837,0.382,0.4228244706723891,0.4600030319697502,0.14252813356773192,0.0964259325946982,0.11595950222617635,0.13115681384683336,0.03370461335005772,0.06045432740285435,0.0438757230438516,0.03654066731065042,0.0955935848523807,0.03492633536514144,0.024206387258312558,0.03118440848945132,0.08895036189243984,0.10855569319489197,0.09648832642311278,0.09140500067917337
