1_1_PHM_C04_MS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,08:46:59,PHM C04 MS NBD-MS,None,0,data\PHM_Tool_Wear_Data_C04_0p098.csv,0.5,-1,-40,0.098,0.9,1000,348,Separate test set.,40,binary,1_1_PHM_C04_MS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.47,0.2033,0.125,0.0589,0.301,0.1343,0.2345,0.1066,0.1967,0.0905,0.12,0.875,0.4975
DQN,0.2,0.3496,0.02,0.035,0.0714,0.1249,0.0472,0.0825,0.0364,0.0636,0.04,0.98,0.51
PPO,0.5125,0.144,0.21,0.0994,0.39,0.1329,0.3308,0.1252,0.293,0.1187,0.185,0.79,0.4875
REINFORCE,0.476,0.2609,0.135,0.0883,0.3033,0.1802,0.2405,0.1474,0.2046,0.128,0.14,0.865,0.5025

