PHM_C06_0.12_weighted
Date,Time,Environment,Noise,Breakdown_chance,Train_data,Wear threshold,Episodes,Test_info,Test_cases,Metrics_method
12-May-2023,18:46:08,PHM 2010. Complex multi-state env.,None,0,data\PHM_C06_MultiStateEnv_0p13.csv,0.12,1000,Sampled from training data,40,weighted

,Wtd_Precision,Wtd_Recall,F_Beta_0_5,F_Beta_0_75,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,mean,mean,mean,mean,mean,mean,mean
Algorithm,,,,,,,,
A2C,0.5025,0.495,0.4986,0.4964,0.4951,0.5275,0.4845,0.505
DQN,0.5417,0.625,0.4798,0.4927,0.5122,0.0382,0.9728,0.375
PPO,0.5689,0.555,0.565,0.5623,0.5602,0.3534,0.6313,0.445
REINFORCE,0.8175,0.765,0.7601,0.7408,0.7347,0.016,0.5906,0.235


