PHM_C01_0.12_weighted
Date,Time,Environment,Noise,Breakdown_chance,Train_data,Wear threshold,Episodes,Test_info,Test_cases,Metrics_method
12-May-2023,18:19:27,PHM 2010. Complex multi-state env.,None,0,data\PHM_C01_MultiStateEnv_0p12.csv,0.12,1000,Sampled from training data,40,weighted

,Wtd_Precision,Wtd_Recall,F_Beta_0_5,F_Beta_0_75,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,mean,mean,mean,mean,mean,mean,mean
Algorithm,,,,,,,,
A2C,0.5193,0.485,0.4913,0.4801,0.4753,0.4104,0.6287,0.515
DQN,0.3136,0.32,0.2669,0.2551,0.2546,0.8991,0.311,0.68
PPO,0.5714,0.52,0.5511,0.5386,0.5303,0.4798,0.5043,0.48
REINFORCE,0.4042,0.63,0.4347,0.4627,0.4906,0.0,1.0,0.37


