4_0_PHM_C01_MS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,00:42:31,PHM C01 MS NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,0.5,-1,-40,0.12,0.9,1000,348,Separate test set.,40,binary,4_0_PHM_C01_MS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5105,0.0323,0.855,0.0599,0.5552,0.0352,0.597,0.038,0.6392,0.041,0.82,0.145,0.4825
DQN,0.225,0.4158,0.02,0.035,0.0704,0.125,0.0466,0.0821,0.036,0.0633,0.03,0.98,0.505
PPO,0.5607,0.1609,0.325,0.1296,0.486,0.1563,0.4409,0.1514,0.4083,0.1466,0.24,0.675,0.4575
REINFORCE,0.8127,0.052,0.975,0.0354,0.8399,0.0437,0.8633,0.0368,0.8851,0.031,0.23,0.025,0.1275

