2_2_Dasic_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,15:21:57,Simulated HBD-SS,0.01,0.1,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,1,-1,-100,3.0,1.0,800,121,Separate test set.,40,binary,2_2_Dasic_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5123,0.0558,0.54,0.1174,0.5145,0.0589,0.5176,0.0668,0.5211,0.076,0.515,0.46,0.4875
DQN,0.45,0.4972,0.04,0.0516,0.1421,0.1713,0.0938,0.1166,0.0724,0.0913,0.025,0.96,0.4925
PPO,0.1417,0.1927,0.03,0.0422,0.08,0.1098,0.0598,0.0827,0.0491,0.0682,0.115,0.97,0.5425
REINFORCE,0.9857,0.0452,0.275,0.0486,0.6443,0.0574,0.5068,0.0616,0.4276,0.06,0.005,0.725,0.365

