2_8_PHM_C04_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,15:42:55,PHM C04 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-100,0.098,0.9,800,348,Separate test set.,40,binary,2_8_PHM_C04_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5322,0.0578,0.575,0.0979,0.5391,0.0603,0.5451,0.0644,0.5508,0.0694,0.505,0.425,0.465
DQN,0.14,0.2558,0.03,0.0537,0.0806,0.1455,0.0602,0.1084,0.0493,0.0886,0.115,0.97,0.5425
PPO,0.3779,0.0935,0.215,0.0818,0.3237,0.0896,0.2924,0.0887,0.2703,0.0877,0.35,0.785,0.5675
REINFORCE,0.7476,0.1024,0.485,0.0914,0.6714,0.091,0.6222,0.0897,0.5853,0.0901,0.165,0.515,0.34

