4_11_PHM_C06_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,17:57:50,PHM C06 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.9,800,348,Separate test set.,40,binary,4_11_PHM_C06_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4507,0.0862,0.36,0.0738,0.4271,0.0797,0.4107,0.0764,0.3978,0.0747,0.445,0.64,0.5425
DQN,0.5079,0.0153,0.985,0.0242,0.5624,0.0162,0.6151,0.017,0.6702,0.0179,0.955,0.015,0.485
PPO,0.3951,0.1878,0.155,0.1189,0.2787,0.1476,0.2352,0.1409,0.2094,0.1359,0.25,0.845,0.5475
REINFORCE,0.8437,0.0929,0.52,0.0888,0.7432,0.0626,0.6815,0.0645,0.6368,0.071,0.105,0.48,0.2925

