4_3_PHM_C01_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,17:24:30,PHM C01 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,4_3_PHM_C01_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4742,0.0484,0.645,0.1257,0.4994,0.0554,0.522,0.0634,0.544,0.0724,0.71,0.355,0.5325
DQN,0.8971,0.0256,0.995,0.0158,0.915,0.0214,0.9298,0.0182,0.9433,0.0156,0.115,0.005,0.06
PPO,0.504,0.215,0.125,0.0354,0.2979,0.0659,0.2312,0.0516,0.1943,0.0463,0.155,0.875,0.515
REINFORCE,1.0,0.0,0.87,0.0258,0.9708,0.0064,0.9488,0.011,0.9303,0.0147,0.0,0.13,0.065

