1_8_PHM_C04_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,14:46:56,PHM C04 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-100,0.098,0.9,800,348,Separate test set.,40,binary,1_8_PHM_C04_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4638,0.0978,0.435,0.1107,0.4571,0.1,0.4521,0.1019,0.448,0.1037,0.495,0.565,0.53
DQN,0.4,0.5164,0.02,0.0258,0.0833,0.1076,0.051,0.0659,0.0381,0.0492,0.005,0.98,0.4925
PPO,0.4647,0.1143,0.2,0.0577,0.3583,0.0826,0.3068,0.0737,0.2737,0.0687,0.25,0.8,0.525
REINFORCE,0.628,0.0364,0.96,0.0516,0.6745,0.0377,0.7171,0.0389,0.759,0.0404,0.57,0.04,0.305

