0_7_PHM_C04_SS_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,13:52:02,PHM C04 SS LBD-SS,0.001,0.05,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.85,800,348,Separate test set.,40,binary,0_7_PHM_C04_SS_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5201,0.0754,0.53,0.1476,0.5194,0.0837,0.5197,0.0927,0.5207,0.1022,0.48,0.47,0.475
DQN,0.5052,0.011,0.975,0.0354,0.559,0.0122,0.6111,0.0138,0.6654,0.0158,0.955,0.025,0.49
PPO,0.49,0.314,0.075,0.0425,0.2052,0.0879,0.1497,0.07,0.1222,0.0608,0.125,0.925,0.525
REINFORCE,0.7308,0.0612,0.805,0.0497,0.7441,0.0564,0.7552,0.053,0.7654,0.0506,0.3,0.195,0.2475

