3_8_PHM_C04_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,16:47:56,PHM C04 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-100,0.098,0.9,800,348,Separate test set.,40,binary,3_8_PHM_C04_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5833,0.4392,0.065,0.053,0.2195,0.1712,0.1485,0.118,0.1158,0.093,0.035,0.935,0.485
DQN,0.25,0.4249,0.02,0.035,0.0744,0.128,0.0481,0.0834,0.0368,0.064,0.03,0.98,0.505
PPO,0.4493,0.1906,0.125,0.0635,0.2932,0.1335,0.2305,0.1089,0.1944,0.0941,0.12,0.875,0.4975
REINFORCE,0.7094,0.0579,0.81,0.0843,0.7265,0.0557,0.7411,0.0562,0.7546,0.0587,0.335,0.19,0.2625

