1_1_Dasic_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
01-Jul-2023,14:23:32,Simulated LBD-SS,0.001,0.05,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,1,-1,-100,3.0,1.0,800,121,Separate test set.,40,binary,1_1_Dasic_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.65,0.4743,0.045,0.0438,0.1689,0.1427,0.1085,0.0976,0.0828,0.0768,0.005,0.955,0.48
DQN,0.3167,0.4335,0.025,0.0354,0.0908,0.122,0.0592,0.0813,0.0455,0.0632,0.03,0.975,0.5025
PPO,0.4211,0.1553,0.135,0.0747,0.2862,0.111,0.2314,0.0991,0.1993,0.092,0.18,0.865,0.5225
REINFORCE,0.9892,0.0228,0.85,0.0408,0.9573,0.0173,0.9334,0.0187,0.9136,0.0227,0.01,0.15,0.08

