5_PHM_C01_SS_NT_10K_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
24-Jun-2023,23:45:17,PHM C01 simple (NT) HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-1,-40,0.12,0.85,800,348,Separate test set.,40,binary,5_PHM_C01_SS_NT_10K_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4376,0.1162,0.455,0.1571,0.4396,0.1223,0.4417,0.1279,0.444,0.1334,0.57,0.545,0.5575
DQN,0.5001,0.0122,0.98,0.0258,0.5543,0.0132,0.6071,0.0142,0.6622,0.0153,0.98,0.02,0.5
PPO,0.5087,0.0419,0.72,0.0856,0.54,0.0455,0.5681,0.0497,0.5953,0.0545,0.695,0.28,0.4875
REINFORCE,0.8919,0.0701,0.94,0.0316,0.9003,0.0587,0.9073,0.0496,0.9139,0.0421,0.12,0.06,0.09

