0_9_PHM_C06_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,12:02:41,PHM C06 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.95,800,348,Separate test set.,40,binary,0_9_PHM_C06_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.488,0.0634,0.49,0.0966,0.4874,0.0665,0.4872,0.0704,0.4874,0.0748,0.51,0.51,0.51
DQN,0.21,0.2837,0.035,0.053,0.1022,0.1453,0.0735,0.1071,0.0592,0.0873,0.045,0.965,0.505
PPO,0.613,0.0863,0.63,0.1378,0.6146,0.092,0.6165,0.0986,0.6186,0.1056,0.395,0.37,0.3825
REINFORCE,1.0,0.0,0.575,0.054,0.8697,0.025,0.7883,0.0369,0.7288,0.0436,0.0,0.425,0.2125

