0_3_PHM_C01_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,11:42:57,PHM C01 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,0_3_PHM_C01_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5264,0.1181,0.47,0.1735,0.5099,0.1275,0.499,0.1361,0.4909,0.1441,0.405,0.53,0.4675
DQN,0.504,0.0195,0.975,0.0354,0.5579,0.0212,0.6101,0.0229,0.6644,0.0246,0.96,0.025,0.4925
PPO,0.3192,0.185,0.13,0.0823,0.2425,0.1408,0.2053,0.1212,0.1816,0.1091,0.27,0.87,0.57
REINFORCE,0.8448,0.0288,1.0,0.0,0.8717,0.0246,0.8946,0.0208,0.9156,0.0171,0.185,0.0,0.0925

