4_9_PHM_C06_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,14:20:02,PHM C06 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.95,800,348,Separate test set.,40,binary,4_9_PHM_C06_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5187,0.0867,0.5,0.1106,0.5123,0.0814,0.5082,0.0816,0.5054,0.0847,0.47,0.5,0.485
DQN,0.4947,0.011,0.965,0.0412,0.5481,0.0131,0.5999,0.0155,0.654,0.0183,0.985,0.035,0.51
PPO,0.5959,0.0429,0.72,0.0919,0.6161,0.0435,0.6336,0.0469,0.65,0.0524,0.49,0.28,0.385
REINFORCE,1.0,0.0,0.595,0.0864,0.8763,0.0418,0.7991,0.0607,0.7426,0.0712,0.0,0.405,0.2025

