0_8_PHM_C04_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,11:59:54,PHM C04 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-100,0.098,0.9,800,348,Separate test set.,40,binary,0_8_PHM_C04_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.494,0.0491,0.445,0.0926,0.4818,0.0569,0.4731,0.064,0.4661,0.0702,0.45,0.555,0.5025
DQN,0.5066,0.0144,0.99,0.0211,0.5614,0.0148,0.6146,0.0151,0.6702,0.0154,0.965,0.01,0.4875
PPO,0.5194,0.0758,0.495,0.1012,0.5131,0.0775,0.5086,0.0806,0.5051,0.0842,0.455,0.505,0.48
REINFORCE,0.6418,0.096,0.465,0.1081,0.5941,0.0988,0.5618,0.1013,0.5367,0.1033,0.255,0.535,0.395

