4_3_PHM_C01_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,14:03:16,PHM C01 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,4_3_PHM_C01_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5313,0.0471,0.75,0.085,0.5635,0.048,0.5924,0.0501,0.6205,0.0535,0.665,0.25,0.4575
DQN,0.4,0.5164,0.03,0.0483,0.1094,0.16,0.0712,0.1087,0.0547,0.0852,0.015,0.97,0.4925
PPO,0.3057,0.1312,0.085,0.0412,0.1987,0.0876,0.1563,0.071,0.1319,0.0612,0.195,0.915,0.555
REINFORCE,1.0,0.0,0.935,0.0337,0.9861,0.0075,0.9753,0.0131,0.9661,0.0179,0.0,0.065,0.0325

