1_7_PHM_C04_SS_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,12:27:55,PHM C04 SS LBD-SS,0.001,0.05,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.85,800,348,Separate test set.,40,binary,1_7_PHM_C04_SS_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4807,0.0892,0.46,0.115,0.4744,0.09,0.4703,0.0931,0.4673,0.0969,0.495,0.54,0.5175
DQN,0.2,0.3496,0.015,0.0242,0.0565,0.0914,0.0363,0.0586,0.0277,0.0446,0.035,0.985,0.51
PPO,0.53,0.0871,0.465,0.1107,0.5112,0.073,0.4989,0.0729,0.4897,0.078,0.42,0.535,0.4775
REINFORCE,0.8098,0.0479,0.985,0.0337,0.8392,0.0414,0.8645,0.0361,0.888,0.0319,0.235,0.015,0.125

