,,0
A2C_F05,mean,0.4674257251194515
A2C_F05_sd,mean,0.07228475949810012
A2C_F1,mean,0.46915996179807373
A2C_F1_sd,mean,0.07544961390245848
A2C_Pr,mean,0.4732086479333566
A2C_Pr_sd,mean,0.07689135485803496
A2C_Rc,mean,0.4894166666666668
A2C_Rc_sd,mean,0.09105648712957955
DQN_F05,mean,0.3205518251824359
DQN_F05_sd,mean,0.07196920718955914
DQN_F1,mean,0.33035410950590377
DQN_F1_sd,mean,0.04327177213733893
DQN_Pr,mean,0.4255062894197512
DQN_Pr_sd,mean,0.21519791836213165
DQN_Rc,mean,0.4326666666666667
DQN_Rc_sd,mean,0.03528297765178606
PPO_F05,mean,0.37159502867628474
PPO_F05_sd,mean,0.1091964763458016
PPO_F1,mean,0.32438350920135
PPO_F1_sd,mean,0.09184108869657535
PPO_Pr,mean,0.4470184723167266
PPO_Pr_sd,mean,0.1499039372503103
PPO_Rc,mean,0.2916666666666667
PPO_Rc_sd,mean,0.08455348066441785
RF_F05,mean,0.7704425988247646
RF_F05_sd,mean,0.03907565481212028
RF_F1,mean,0.7663268879481606
RF_F1_sd,mean,0.03985635001507742
RF_Pr,mean,0.7939003292055462
RF_Pr_sd,mean,0.04710320326452081
RF_Rc,mean,0.7953333333333332
RF_Rc_sd,mean,0.04561734714325156
