1_4_PHM_C01_SS_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,12:19:42,PHM C01 SS LBD-SS,0.001,0.05,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-1,-100,0.12,0.9,800,348,Separate test set.,40,binary,1_4_PHM_C01_SS_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.536,0.1007,0.395,0.0725,0.4935,0.0645,0.467,0.0548,0.4474,0.0547,0.365,0.605,0.485
DQN,0.4974,0.0119,0.97,0.035,0.551,0.0137,0.6031,0.0155,0.6575,0.0177,0.98,0.03,0.505
PPO,0.5675,0.1564,0.21,0.0907,0.4169,0.1264,0.3461,0.1149,0.3022,0.1079,0.155,0.79,0.4725
REINFORCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5

