2_6_PHM_C04_SS_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,12:58:07,PHM C04 SS NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.95,800,348,Separate test set.,40,binary,2_6_PHM_C04_SS_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5144,0.0921,0.585,0.1081,0.5263,0.0912,0.5364,0.0918,0.5459,0.0933,0.555,0.415,0.485
DQN,0.758,0.0285,0.985,0.0337,0.7946,0.0285,0.8265,0.0286,0.8566,0.029,0.315,0.015,0.165
PPO,0.4864,0.0957,0.295,0.0864,0.4271,0.0896,0.3905,0.0878,0.3639,0.087,0.31,0.705,0.5075
REINFORCE,0.9106,0.045,0.995,0.0158,0.926,0.0373,0.9388,0.0311,0.9504,0.0257,0.1,0.005,0.0525

