0_11_PHM_C06_SS_HighNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
02-Jul-2023,12:08:49,PHM C06 SS HBD-SS,0.01,0.1,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.9,800,348,Separate test set.,40,binary,0_11_PHM_C06_SS_HighNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5233,0.0609,0.69,0.0775,0.5491,0.0596,0.572,0.0594,0.5938,0.0603,0.635,0.31,0.4725
DQN,0.5039,0.0063,0.995,0.0158,0.5591,0.0057,0.6127,0.0051,0.6689,0.0048,0.98,0.005,0.4925
PPO,0.4012,0.1497,0.24,0.0966,0.3525,0.1327,0.3218,0.1225,0.2992,0.1152,0.35,0.76,0.555
REINFORCE,0.8658,0.0515,0.775,0.1137,0.8436,0.0569,0.8275,0.0667,0.8145,0.0768,0.12,0.225,0.1725

